Graph size,Flexible forward,Constant forward,Flexible backward,Constant backward
1172.0,0.248997,0.00700188,0.263,0.239002
1172.0,0.456998,0.00799847,0.429999,0.440999
1184.0,0.733016,0.0049994,0.737047,1.112
1265.0,0.395003,0.00599933,0.397998,0.838999
1207.0,0.562001,0.00899792,0.573277,0.591
1291.0,0.405531,0.00799537,0.401999,0.605002
1271.0,0.578828,0.00900555,0.599995,0.895997
1220.0,0.379999,0.00800133,0.387,0.688997
1210.0,0.405996,0.00599694,0.396,0.768003
1168.0,0.467516,0.00600052,0.463,0.894
1208.0,0.496,0.00700355,0.497049,0.527998
1219.0,0.575003,0.0079987,0.570611,0.575996
1265.0,0.334,0.00799584,0.343001,0.317002
1283.0,0.275002,0.00899792,0.281001,0.565998
1207.0,0.532414,0.00799918,0.537004,1.025
1182.0,0.480003,0.00699925,0.494523,0.504998
1187.0,0.595996,0.00600076,0.601332,0.605001
1296.0,0.611958,0.00700116,0.610526,0.628003
1360.0,0.518002,0.00999856,0.514541,0.912001
1384.0,0.419543,0.0100045,0.4178,0.440998
1330.0,0.309,0.00699902,0.323046,0.321002
1248.0,0.503997,0.00900245,0.509,0.483999
1253.0,0.433532,0.00899935,0.427003,0.421
1257.0,0.334997,0.0080018,0.331,0.319
1260.0,0.378999,0.00599861,0.389004,0.374995
1279.0,0.434365,0.00902081,0.443555,0.708997
1228.0,0.487025,0.00800037,0.475024,1.005
1234.0,0.458028,0.00601649,0.473997,0.491
1273.0,0.525273,0.00800061,0.531082,0.527002
1340.0,0.441046,0.00900126,0.457001,0.429
1370.0,0.473129,0.0100005,0.474547,0.729996
1392.0,0.315003,0.00999856,0.315999,0.317998
1342.0,0.397001,0.00900126,0.395997,0.392998
1299.0,0.556055,0.00800204,0.565003,0.573002
1330.0,0.546002,0.00699902,0.549999,0.551
1382.0,0.669452,0.00900865,0.676991,0.669998
1469.0,0.455017,0.0100017,0.457013,0.423999
1465.0,0.372,0.0110013,0.384001,0.591998
1381.0,0.560001,0.0109951,0.544999,0.589998
1362.0,0.460565,0.00900006,0.479001,0.624997
508.0,0.111048,0.0030005,0.114998,0.369003
548.0,0.119999,0.00299907,0.118,0.116997
587.0,0.0619986,0.00399971,0.0660021,0.150999
565.0,0.105,0.00400114,0.112,0.114
573.0,0.124001,0.00300145,0.125999,0.112992
